,w0,w1,error
0,-0.05289760146462319,-1.5,30.483211787804517
1,-0.051698745389293865,-1.497997997997998,30.382361766109746
2,-0.05490305540600726,-1.495995995995996,30.281713425877463
3,-0.050708935076515305,-1.493993993993994,30.18124745482801
4,-0.051853856257581654,-1.491991991991992,30.08089107090001
5,-0.054509435012479956,-1.48998998998999,29.980808250557
6,-0.052894464519961604,-1.487987987987988,29.880863703964167
7,-0.0534732313974704,-1.485985985985986,29.781154612340345
8,-0.05278066576571416,-1.483983983983984,29.681631973611537
9,-0.05227988077689072,-1.481981981981982,29.582313657123674
10,-0.05329322071510889,-1.47997997997998,29.483176057100174
11,-0.05301008504362659,-1.477977977977978,29.384236653335456
12,-0.05321933445784266,-1.475975975975976,29.285493642217748
13,-0.05113484642946298,-1.473973973973974,29.186996509901125
14,-0.05237424960446968,-1.471971971971972,29.088591876628232
15,-0.053610739825211695,-1.46996996996997,28.990430149176582
16,-0.05233595389561807,-1.467967967967968,28.89246136702626
17,-0.05197811180115752,-1.465965965965966,28.79469578105528
18,-0.054545797526903916,-1.4639639639639639,28.697138495208478
19,-0.05469020310160122,-1.461961961961962,28.599758802214165
20,-0.05186637205950895,-1.45995995995996,28.502537637597797
21,-0.05177727204939364,-1.457957957957958,28.40554123729652
22,-0.0530157463598091,-1.455955955955956,28.30871255907104
23,-0.05415021871153969,-1.4539539539539539,28.212122678503945
24,-0.05309497170624056,-1.451951951951952,28.115682459108008
25,-0.05331662263618009,-1.44994994994995,28.019459676104688
26,-0.052871636307635805,-1.447947947947948,27.92342730580005
27,-0.04808303640028755,-1.445945945945946,27.827972757126016
28,-0.05284844012791701,-1.4439439439439439,27.73194755485485
29,-0.04972713900468739,-1.441941941941942,27.63666657588196
30,-0.05240353225766392,-1.43993993993994,27.541247885866323
31,-0.051192007887944646,-1.437937937937938,27.446231826797415
32,-0.05357553349678357,-1.435935935935936,27.3513191858241
33,-0.05275626328472227,-1.4339339339339339,27.256640138985286
34,-0.05193223786861756,-1.431931931931932,27.16217653817006
35,-0.052706645269670505,-1.42992992992993,27.067874021950157
36,-0.05282788484030654,-1.427927927927928,26.973780692545805
37,-0.05283261777345838,-1.425925925925926,26.87988194569476
38,-0.05367023809983862,-1.4239239239239239,26.786184519198724
39,-0.053437977992568886,-1.421921921921922,26.69266908684011
40,-0.05284685116420085,-1.41991991991992,26.599348567190233
41,-0.05272788719150445,-1.417917917917918,26.50622578333483
42,-0.05120080216031653,-1.415915915915916,26.413345347932378
43,-0.05213232809829593,-1.4139139139139139,26.320570566387083
